temperature,humidity,wind_speed,traffic_density,industrial_activity,stagnation_index,AQI_1_Hour_Ago,AQI_24_Hours_Ago,AQI_Target
30.99,53.4,9.9,1.0,22.19,2.2190000000000003,139.27,123.6,107.82
26.5,47.88,13.57,3.0,54.92,4.017556693489393,107.82,149.78,163.45
16.28,48.56,9.99,9.0,49.85,4.940535183349851,163.45,127.8,156.32
26.21,75.66,6.69,1.0,31.55,4.646539027982327,156.32,171.65,129.78
27.7,35.22,10.84,2.0,70.36,6.431444241316271,129.78,114.69,181.21
18.81,48.56,10.29,2.0,60.62,5.834456207892204,181.21,51.51,173.41
26.08,81.7,9.83,8.0,60.55,6.097683786505539,173.41,114.78,207.48
25.41,63.66,11.73,6.0,59.68,5.044801352493661,207.48,113.95,160.56
17.0,62.88,7.21,7.0,71.79,9.820793433652533,160.56,90.06,156.28
27.5,91.98,5.89,4.0,46.89,7.828046744574292,156.28,110.53,116.48
28.93,63.7,8.5,4.0,25.17,2.9267441860465118,116.48,97.92,121.79
32.58,49.38,8.84,4.0,45.86,5.1297539149888145,121.79,106.02,151.68
32.38,55.77,9.15,6.0,16.89,1.825945945945946,151.68,215.36,69.17
15.36,42.97,13.81,4.0,28.76,2.0675772825305536,69.17,76.28,90.44
18.44,78.84,12.31,1.0,82.38,6.638195004029009,90.44,87.19,172.4
28.61,68.62,11.6,1.0,27.99,2.3923076923076922,172.4,195.07,125.38
28.6,76.87,10.67,8.0,26.52,2.4623955431754876,125.38,213.62,115.65
28.61,78.19,8.7,2.0,63.39,7.2034090909090915,115.65,138.67,158.07
51.97,53.79,7.44,9.0,67.26,8.920424403183025,158.07,60.13,187.86
29.0,45.83,6.41,10.0,16.67,2.5606758832565286,187.86,111.98,75.14
32.95,59.22,7.92,8.0,54.98,6.855361596009975,75.14,155.11,186.53
31.68,46.91,9.87,1.0,39.03,3.914744232698095,186.53,83.48,115.01
29.56,62.47,6.54,10.0,56.61,8.525602409638555,115.01,161.13,143.21
22.79,76.98,10.51,8.0,43.95,4.142318567389256,143.21,139.27,135.46
30.31,57.48,9.42,9.0,22.69,2.3834033613445382,135.46,107.82,130.0
19.59,62.25,8.81,4.0,40.37,4.530864197530864,130.0,163.45,121.61
23.34,58.59,13.48,7.0,62.52,4.603829160530192,121.61,156.32,167.92
21.6,60.12,2.62,4.0,88.87,32.67279411764706,167.92,129.78,193.21
25.57,49.98,8.85,3.0,57.8,6.458100558659218,193.21,181.21,136.64
41.2,27.05,2.94,1.0,42.18,13.875,136.64,173.41,123.7
11.93,67.06,10.72,2.0,26.41,2.4408502772643255,123.7,207.48,158.35
29.8,74.82,12.29,7.0,46.83,3.7796610169491527,158.35,160.56,134.19
13.71,66.7,5.95,6.0,42.43,7.013223140495868,134.19,156.28,158.21
21.7,50.4,6.33,8.0,56.12,8.727838258164851,158.21,116.48,165.18
32.62,42.97,4.91,3.0,48.81,9.742514970059881,165.18,121.79,184.72
25.45,67.42,10.19,6.0,59.59,5.7910592808552,184.72,151.68,197.39
17.46,62.12,8.98,6.0,42.81,4.714757709251102,197.39,69.17,122.78
19.99,58.11,9.16,2.0,84.18,9.090712742980562,122.78,90.44,153.7
29.76,87.34,8.9,1.0,61.68,6.8533333333333335,153.7,172.4,147.69
19.89,45.8,7.08,2.0,35.87,4.995821727019498,147.69,125.38,117.27
26.52,86.63,13.4,9.0,70.02,5.1866666666666665,117.27,115.65,217.31
25.32,60.48,10.82,6.0,26.88,2.4615384615384617,217.31,158.07,142.15
20.44,32.47,6.45,3.0,32.91,5.02442748091603,142.15,187.86,92.76
40.01,57.31,7.9,10.0,33.98,4.2475,92.76,75.14,144.81
29.44,74.39,7.38,7.0,76.57,10.23663101604278,144.81,186.53,239.58
10.82,54.52,14.22,1.0,46.42,3.2416201117318435,239.58,115.01,88.76
26.31,37.88,12.13,8.0,37.43,3.060506950122649,88.76,143.21,45.92
20.37,57.53,9.62,10.0,53.28,5.481481481481482,45.92,135.46,180.15
30.97,47.14,15.12,7.0,60.84,3.9973718791064394,180.15,130.0,112.05
25.0,67.38,14.36,3.0,81.78,5.655601659751038,112.05,121.61,167.18
24.2,71.6,9.31,4.0,20.06,2.1317747077577045,167.18,167.92,126.96
28.53,44.16,8.77,7.0,75.27,8.485907553551296,126.96,193.21,160.04
31.06,49.41,8.91,4.0,8.65,0.9600443951165373,160.04,136.64,113.74
16.6,71.35,7.14,5.0,68.13,9.410220994475138,113.74,123.7,246.47
22.66,47.12,15.2,1.0,73.27,4.788888888888889,246.47,158.35,122.57
21.68,43.77,6.98,5.0,74.3,10.494350282485875,122.57,134.19,170.38
20.43,42.32,12.6,10.0,61.38,4.833070866141733,170.38,158.21,141.72
37.36,65.28,12.07,10.0,28.7,2.3582580115036977,141.72,165.18,140.87
27.83,64.64,9.09,4.0,64.94,7.066376496191513,140.87,184.72,156.4
16.17,49.74,15.43,3.0,28.65,1.8448164842240824,156.4,197.39,69.21
31.43,60.08,5.32,9.0,31.23,5.7619926199261995,69.21,122.78,127.49
39.86,82.91,9.76,1.0,40.87,4.145030425963489,127.49,153.7,147.61
32.23,45.39,8.53,10.0,42.68,4.945538818076478,147.61,147.69,127.91
14.36,30.72,12.88,5.0,54.81,4.222650231124807,127.91,117.27,48.21
21.61,66.83,11.06,10.0,36.09,3.233870967741936,48.21,217.31,138.43
33.87,58.34,4.82,2.0,56.59,11.502032520325205,138.43,142.15,159.99
20.05,49.35,13.72,5.0,22.55,1.6316931982633864,159.99,92.76,69.87
28.11,69.78,11.46,5.0,50.78,4.392733564013841,69.87,144.81,156.63
30.42,72.59,6.89,10.0,44.55,6.373390557939914,156.63,239.58,169.22
18.51,26.88,8.95,1.0,70.28,7.765745856353592,169.22,88.76,124.83
24.58,50.21,6.1,4.0,72.29,11.659677419354841,124.83,45.92,174.58
2.31,94.76,9.49,7.0,46.6,4.859228362877998,174.58,180.15,147.05
17.83,68.75,10.45,1.0,10.81,1.0246445497630334,147.05,112.05,61.98
23.23,70.14,9.0,10.0,20.51,2.2538461538461543,61.98,167.18,175.11
16.27,77.59,8.65,2.0,72.47,8.282285714285715,175.11,126.96,172.02
36.43,60.26,5.16,4.0,47.13,8.960076045627376,172.02,160.04,168.43
14.99,71.95,11.01,10.0,84.98,7.64896489648965,168.43,113.74,265.9
21.92,70.77,4.23,2.0,67.93,15.68822170900693,265.9,246.47,177.32
25.92,68.09,10.09,2.0,55.1,5.407262021589794,177.32,122.57,168.3
35.09,55.17,4.6,1.0,52.57,11.185106382978725,168.3,170.38,218.78
14.95,62.58,10.15,2.0,27.02,2.63609756097561,218.78,141.72,66.44
33.14,51.17,9.98,3.0,37.37,3.7073412698412698,66.44,140.87,158.98
25.07,60.19,11.21,4.0,58.33,5.157382847038019,158.98,156.4,159.41
18.13,42.47,12.59,1.0,43.1,3.3963750985027583,159.41,69.21,92.77
28.23,48.14,13.14,1.0,59.37,4.484138972809667,92.77,127.49,138.64
26.39,55.77,5.17,7.0,70.58,13.392789373814043,138.64,147.61,177.56
20.8,45.84,9.83,5.0,46.41,4.673716012084592,177.56,127.91,167.19
25.49,52.42,16.03,7.0,41.37,2.5647861128332297,167.19,48.21,117.61
22.3,57.54,10.36,10.0,32.07,3.0659655831739965,117.61,138.43,144.53
25.0,66.03,7.51,9.0,66.7,8.764783180026281,144.53,159.99,174.68
29.63,74.24,9.76,1.0,65.07,6.5993914807302225,174.68,69.87,185.62
36.1,53.04,8.85,8.0,93.74,10.473743016759776,185.62,156.63,204.33
16.34,80.03,6.47,6.0,53.54,8.149162861491629,204.33,169.22,145.62
39.93,74.08,12.61,4.0,48.07,3.782061369000787,145.62,124.83,193.63
11.34,67.56,11.75,9.0,59.35,5.008438818565401,193.63,174.58,168.13
23.94,62.3,6.0,2.0,44.24,7.252459016393443,168.13,147.05,167.14
29.12,64.79,9.72,9.0,32.29,3.2881873727087574,167.14,61.98,121.26
26.97,77.81,8.3,8.0,51.78,6.164285714285715,121.26,175.11,206.76
20.64,78.35,5.2,6.0,59.16,11.162264150943395,206.76,172.02,199.35
23.54,80.02,5.76,5.0,60.48,10.320819112627987,199.35,168.43,193.86
21.55,60.62,6.2,3.0,58.88,9.346031746031747,193.86,265.9,190.87
20.87,68.32,9.82,1.0,71.28,7.185483870967742,190.87,177.32,167.51
30.95,80.15,8.63,6.0,60.41,6.919816723940435,167.51,168.3,222.26
27.5,50.64,7.12,10.0,55.41,7.674515235457063,222.26,218.78,147.72
20.15,55.22,8.82,5.0,24.69,2.7679372197309418,147.72,66.44,112.47
31.3,60.24,12.24,8.0,54.92,4.450567260940033,112.47,158.98,135.89
27.15,73.49,11.07,1.0,46.58,4.170098478066249,135.89,159.41,121.31
30.69,73.73,13.01,10.0,27.57,2.1029748283752863,121.31,92.77,313.22
29.41,56.54,9.32,1.0,60.02,6.371549893842888,313.22,138.64,154.33
19.2,37.37,14.81,7.0,60.36,4.048289738430584,154.33,177.56,143.56
21.08,63.69,11.04,8.0,58.51,5.252244165170557,143.56,167.19,147.28
30.23,46.23,9.99,10.0,61.11,6.056491575817641,147.28,117.61,181.46
29.27,37.65,10.28,1.0,52.48,5.055876685934489,181.46,144.53,121.4
24.85,41.04,6.26,9.0,45.07,7.086477987421384,121.4,174.68,129.52
25.82,64.9,9.08,7.0,85.4,9.302832244008716,129.52,185.62,222.21
33.94,80.42,11.29,7.0,52.96,4.649692712906059,222.21,204.33,164.91
25.0,60.58,11.84,8.0,-0.85,-0.07118927973199331,164.91,145.62,127.41
28.83,63.17,8.77,8.0,1.45,0.16347237880496054,127.41,193.63,111.23
23.58,77.74,18.2,1.0,74.1,4.049180327868852,111.23,168.13,136.13
23.48,36.83,9.48,4.0,13.32,1.3903966597077244,136.13,167.14,77.81
32.69,67.8,4.96,9.0,39.11,7.729249011857708,77.81,121.26,151.35
30.78,59.83,13.64,3.0,25.68,1.8689956331877728,151.35,206.76,69.92
30.69,68.49,11.82,6.0,43.95,3.687080536912752,69.92,199.35,178.01
34.14,52.75,10.7,4.0,57.72,5.344444444444445,178.01,193.86,184.64
25.15,60.12,8.61,1.0,36.71,4.2146957520091854,184.64,190.87,102.18
29.77,62.11,11.18,3.0,33.69,2.9867021276595747,102.18,167.51,146.96
22.83,84.74,14.86,3.0,64.59,4.317513368983958,146.96,222.26,197.68
27.27,72.91,10.6,3.0,102.64,9.592523364485983,197.68,147.72,228.09
24.09,52.38,5.59,6.0,60.81,10.687170474516698,228.09,112.47,194.26
25.68,39.89,-0.36,9.0,31.72,-121.99999999999999,194.26,135.89,149.32
29.17,34.77,11.15,7.0,67.42,5.992888888888889,149.32,121.31,183.14
19.27,79.74,7.04,7.0,84.88,11.88795518207283,183.14,313.22,191.81
39.65,45.67,9.7,1.0,71.27,7.272448979591837,191.81,154.33,175.15
17.96,55.12,7.57,9.0,19.13,2.494132985658409,175.15,143.56,119.43
16.5,79.82,7.36,4.0,60.57,8.119302949061662,119.43,147.28,153.69
33.11,35.79,7.7,8.0,40.82,5.233333333333333,153.69,181.46,107.62
30.54,82.38,7.98,1.0,51.05,6.318069306930693,107.62,121.4,136.88
29.37,56.2,12.33,8.0,42.52,3.4207562349155274,136.88,129.52,141.83
29.4,42.77,11.72,9.0,64.85,5.486463620981387,141.83,222.21,149.77
24.91,56.29,6.38,5.0,42.94,6.6265432098765435,149.77,164.91,116.5
18.72,49.16,6.78,7.0,78.36,11.38953488372093,116.5,127.41,216.55
25.53,66.61,11.14,10.0,49.94,4.44306049822064,216.55,111.23,173.36
20.26,50.28,13.16,6.0,45.53,3.433634992458522,173.36,136.13,104.14
31.83,31.33,13.11,1.0,61.44,4.651021953065859,104.14,77.81,137.75
23.97,56.69,6.99,6.0,57.14,8.059238363892806,137.75,151.35,161.35
19.22,39.65,12.97,9.0,62.01,4.744452945677123,161.35,69.92,105.55
22.75,63.06,4.67,1.0,47.34,9.924528301886793,105.55,178.01,164.74
27.89,42.19,9.39,10.0,76.69,8.081138040042148,164.74,184.64,223.65
21.05,52.68,11.46,1.0,69.81,6.038927335640138,223.65,102.18,195.06
19.24,62.74,3.76,4.0,49.75,12.88860103626943,195.06,146.96,167.89
26.71,56.81,16.28,10.0,66.45,4.056776556776557,167.89,197.68,153.8
26.71,63.76,13.98,6.0,44.74,3.1775568181818183,153.8,228.09,156.62
21.45,70.2,11.94,9.0,61.41,5.100498338870432,156.62,194.26,182.68
21.7,42.63,7.1,2.0,66.51,9.237500000000002,182.68,149.32,156.21
26.62,59.03,9.8,5.0,54.99,5.554545454545455,156.21,183.14,207.27
14.86,60.12,12.37,7.0,33.6,2.6944667201283083,207.27,191.81,67.38
15.15,63.71,6.63,4.0,26.13,3.8826151560178306,67.38,175.15,149.92
19.97,55.49,9.46,6.0,55.87,5.844142259414225,149.92,119.43,160.24
23.51,45.25,12.73,6.0,35.52,2.768511301636789,160.24,153.69,119.06
25.0,64.74,5.52,4.0,71.09,12.64946619217082,119.06,107.62,155.53
35.33,77.59,11.0,4.0,19.82,1.7855855855855858,155.53,136.88,161.35
31.0,52.86,4.74,9.0,76.34,15.772727272727273,161.35,141.83,226.16
23.88,45.83,7.17,1.0,51.02,7.017881705639616,226.16,149.77,147.7
24.87,62.48,8.49,5.0,32.91,3.8311990686845165,147.7,116.5,163.79
17.98,39.97,11.54,9.0,40.97,3.5197594501718217,163.79,216.55,132.15
24.87,50.09,7.9,9.0,45.93,5.74125,132.15,173.36,118.89
22.98,78.34,10.38,9.0,59.66,5.692748091603053,118.89,104.14,162.89
27.26,60.93,7.94,2.0,25.49,3.1703980099502482,162.89,137.75,124.23
19.21,31.81,8.41,7.0,30.82,3.621621621621622,124.23,161.35,64.93
28.64,33.05,13.75,10.0,43.51,3.1415162454873644,64.93,105.55,150.71
35.73,62.43,6.55,8.0,49.39,7.427067669172933,150.71,164.74,403.07
24.24,72.94,12.28,1.0,64.33,5.196284329563813,403.07,223.65,176.3
27.81,35.74,10.0,2.0,55.38,5.483168316831684,176.3,195.06,113.01
29.83,66.75,8.27,1.0,42.21,5.043010752688173,113.01,167.89,168.79
22.19,79.96,6.35,9.0,54.73,8.485271317829458,168.79,153.8,188.77
26.57,88.32,6.56,10.0,53.31,8.004504504504506,188.77,156.62,193.97
25.09,64.97,7.78,5.0,44.97,5.706852791878172,193.97,182.68,194.02
